id,data_type,entity_type,location.country_code,location.subdivision_name,location.municipality,provider,is_official,name,note,feed_contact_email,static_reference,urls.direct_download,urls.authentication_type,urls.authentication_info,urls.api_key_parameter_name,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on,status,features,redirect.id,redirect.comment
jbda-agematsutown-agematu,gtfs,,JP,Nagano Prefecture,Agematsu,上松町,True,上松町公共交通,not_set,koutsu＠union.kiso.lg.jp,,https://api.gtfs-data.jp/v2/organizations/agematsutown/feeds/agematu/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-agematsutown-agematu/latest.zip,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,35.73346431,35.8439912669287,137.62216212,137.7256,2025-10-29 18:29:34.166039+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Translations,,
jbda-aichi-miyoshicity-sansanbus,gtfs,,JP,Aichi Prefecture,Miyoshi,みよし市,True,みよし市さんさんバス,not_set,toshi_k@city.aichi-miyoshi.lg.jp,,https://api.gtfs-data.jp/v2/organizations/aichi-miyoshicity/feeds/sansanbus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-aichi-miyoshicity-sansanbus/latest.zip,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,35.060983,35.131805,137.050232,137.1357519,2025-10-29 18:59:43.355870+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Transfers|Translations,,
jbda-akashicity-tacobustacobusmini,gtfs,,JP,Hyogo Prefecture,Akashi,明石市,True,たこバス/たこバスミニ,,kousei@city.akashi.lg.jp,,https://api.gtfs-data.jp/v2/organizations/akashicity/feeds/tacobustacobusmini/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-akashicity-tacobustacobusmini/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,34.660181,34.719719,134.876913,134.970919,2026-04-01 00:52:02.936936+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Translations,,
jbda-aketetsu-akechirailway,gtfs,,JP,Gifu Prefecture,Ena,明知鉄道,True,明知鉄道,"収録路線：全線
　プラットホームの番号には未対応です
　GTFS-JP３版対応",koutsuu@city.ena.lg.jp,,https://api.gtfs-data.jp/v2/organizations/aketetsu/feeds/akechirailway/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-aketetsu-akechirailway/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,35.30614,35.455222,137.3874,137.46111,2025-10-29 18:32:57.743084+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Translations,,
jbda-akicity-GTFS-Akicity_Bus,gtfs,,JP,Kochi Prefecture,Aki,安芸市,True,安芸市「元気バス」,,https://www.city.aki.kochi.jp/life/dtl.php?hdnKey=7285,,https://api.gtfs-data.jp/v2/organizations/akicity/feeds/GTFS-Akicity_Bus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-akicity-GTFS-Akicity_Bus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,33.492823,33.625559,133.823472,133.980121,2025-10-29 21:08:48.998660+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Translations,,
jbda-akocity-teijuurou,gtfs,,JP,Hyogo Prefecture,Ako,赤穂市,True,ていじゅうろう,,kikaku@city.ako.lg.jp,,https://api.gtfs-data.jp/v2/organizations/akocity/feeds/teijuurou/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-akocity-teijuurou/latest.zip,https://creativecommons.org/licenses/by/2.1/jp/,34.73173,34.867167,134.203336,134.411674,2026-04-01 00:16:32.451157+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Translations,,
jbda-akocity-yuranosuke,gtfs,,JP,Hyogo Prefecture,Ako,赤穂市,True,ゆらのすけ,not_set,kikaku@city.ako.lg.jp,,https://api.gtfs-data.jp/v2/organizations/akocity/feeds/yuranosuke/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-akocity-yuranosuke/latest.zip,https://creativecommons.org/licenses/by/2.1/jp/,34.72685,34.848352,134.324125,134.455791,2026-04-01 01:08:09.607934+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Translations,,
jbda-amacity-amashijunkaibasu,gtfs,,JP,Aichi Prefecture,Ama,あま市,True,あま市巡回バス,北部巡回ルート（左回り）、北部巡回ルート（右回り）、南部巡回ルート（左回り）、南部巡回ルート（右回り）、東部巡回ルート（左回り）、東部巡回ルート（右回り）,seisaku@city.ama.lg.jp,,https://api.gtfs-data.jp/v2/organizations/amacity/feeds/amashijunkaibasu/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-amacity-amashijunkaibasu/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,35.1423799103089,35.2141797604388,136.769295464372,136.843313121015,2026-03-23 20:34:57.589376+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes,,
jbda-anjocity-AnkuruBus,gtfs,,JP,Aichi Prefecture,Anjo,安城市,True,あんくるバス,not_set,toshikei@city.anjo.lg.jp,,https://api.gtfs-data.jp/v2/organizations/anjocity/feeds/AnkuruBus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-anjocity-AnkuruBus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,34.895007,35.001167,137.012955,137.120028,2026-04-01 00:30:31.363043+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Transfers|Translations,,
jbda-aoi-komaki-aoikotsu,gtfs,,JP,Aichi Prefecture,Komaki,あおい交通,True,あおい交通,"収録路線：ピーチバス、桃花台バス、名古屋空港直行バス
GTFS-JP　３版対応",gtfsinfo@rosenzu.com,,https://api.gtfs-data.jp/v2/organizations/aoi-komaki/feeds/aoikotsu/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-aoi-komaki-aoikotsu/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,35.16988,35.30531,136.884789,136.997026,2026-04-01 01:44:44.062935+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Translations,,
