station,avg_boardings_per_day,latitude,longitude,agency,population,median_income,percent_under_5,pct_over_85,median_household_income,per_capita_income,gini_index,median_home_value,median_rent,pct_bachelors_or_higher,pct_labor_force_unemployed,pct_married,pct_with_health_insurance,pct_foreign_born,pct_renter_occupied,pct_with_computer,pct_with_internet,pct_no_vehicle_available
Allston Street,590.6144578313254,42.348701,-71.137955,MBTA,4349.0,78110.0,0.2529317084387216,0.7587951253161646,78110.0,48030.0,0.4255,535200.0,2139.0,86.15168539325843,10.338983050847457,18.98470097357441,95.17097966728281,29.45504713727294,87.40989908697742,100.0,98.75060067275349,58.049014896684284
Amory Street,345.4096385542169,42.350992,-71.114748,MBTA,3079.0,-666666666.0,0.0,0.0,-666666666.0,5273.0,-666666666.0,-666666666.0,-666666666.0,36.84210526315789,10.615989515072084,1.9162065605716143,98.99317960376746,17.992854822994477,,,,
Arlington,6009.698795180723,42.351765,-71.070881,MBTA,2084.0,160057.0,2.111324376199616,2.543186180422265,160057.0,196364.0,0.5555,1601100.0,2612.0,92.25113122171946,1.5416958654519972,44.730331519049976,99.71209213051824,16.218809980806142,48.810500410172274,97.86710418375718,96.39048400328137,35.602953240360954
Babcock Street,373.69879518072287,42.351616,-71.119924,MBTA,3079.0,-666666666.0,0.0,0.0,-666666666.0,5273.0,-666666666.0,-666666666.0,-666666666.0,36.84210526315789,10.615989515072084,1.9162065605716143,98.99317960376746,17.992854822994477,,,,
Back of the Hill,176.25301204819277,42.330139,-71.111313,MBTA,2835.0,84308.0,0.0,1.4814814814814816,84308.0,49451.0,0.513,955000.0,1908.0,58.94568690095847,10.858050847457628,16.907514450867055,100.0,38.447971781305114,70.98175499565596,90.26933101650738,90.18245004344048,49.087749782797566
Ball Square,642.1927710843373,42.399889,-71.111003,MBTA,5338.0,131107.0,2.903709254402398,1.049082053203447,131107.0,57522.0,0.3722,643600.0,2699.0,64.0743458058205,1.9064565327910523,30.81454397724964,82.82128137879356,31.247658298988384,65.78947368421053,94.60072595281306,96.27949183303085,12.47731397459165
Beaconsfield,350.0722891566265,42.335765,-71.140455,MBTA,5414.0,160078.0,5.005541189508681,0.9050609530845956,160078.0,113148.0,0.4651,1182600.0,3222.0,91.83620911666237,1.9838162359697205,42.52248483580841,98.26376062061323,21.25969708164019,37.396121883656505,98.81282152750298,98.97111199050256,18.796992481203006
Blandford Street,318.421686746988,42.349293,-71.100258,MBTA,3397.0,39886.0,0.0,0.0,39886.0,20241.0,0.6427,592700.0,2198.0,86.2475442043222,17.691819911223845,5.740359140418016,97.29172799528996,27.377097438916692,89.57219251336899,100.0,100.0,59.62566844919787
Boston College,365.2409638554217,42.340081,-71.166769,MBTA,6117.0,250001.0,1.9290501880006539,1.4059179336275953,250001.0,119154.0,0.466,1548000.0,2853.0,92.05620102674953,3.732554365465758,58.51621674111478,98.57400426159646,16.772927905836195,10.123855681206246,99.03069466882067,99.03069466882067,2.0463112547119007
Boston University Central,355.6385542168675,42.350082,-71.106865,MBTA,3397.0,39886.0,0.0,0.0,39886.0,20241.0,0.6427,592700.0,2198.0,86.2475442043222,17.691819911223845,5.740359140418016,97.29172799528996,27.377097438916692,89.57219251336899,100.0,100.0,59.62566844919787
